RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
123,Malik Beasley,Uta,G,26.4,55,26.7,21.3,8.2,44,0.841,198,0.485,471,0.359,0.522,0.535,13.4,3.6,1.7,0.8,0.1,1.1,17,15.1,18.7,6.5,107.3,115.3
124,Jakob Poeltl,Tor,C,27.5,25,27.8,17.4,11.5,72,0.569,224,0.656,0,0,0.656,0.655,13.4,9.3,2.2,1.2,1.4,1.2,22.7,15.6,24.9,9.3,132.4,103.3
125,Jusuf Nurkic,Por,C,28.6,52,26.7,22.2,19.1,192,0.661,386,0.567,119,0.361,0.561,0.589,13.3,9.1,2.9,0.8,0.8,2.3,22.4,16.2,25.3,10.6,112.8,103.5
126,John Collins,Atl,F-C,25.5,71,30,17,10,178,0.803,467,0.619,240,0.292,0.557,0.593,13.1,6.5,1.2,0.6,1,1.1,19.6,14.3,20.8,6.2,116.7,108.1
127,Eric Gordon,Hou,G,34.3,47,30.2,18.1,14.8,135,0.815,233,0.536,245,0.347,0.528,0.572,13.1,2.1,2.9,0.6,0.4,1.8,15.1,16,18,5.7,112.6,122.3
128,Cole Anthony,Orl,G,22.9,60,25.9,21.5,13,170,0.894,404,0.5,206,0.364,0.516,0.57,13,4.8,3.9,0.6,0.5,1.5,17.8,16.9,21.7,9.6,116.8,106.2
129,Devonte' Graham,San,G,28.1,20,26.4,20.2,11.5,72,0.75,52,0.442,148,0.358,0.513,0.559,13,2.5,4,0.8,0.3,1.3,15.5,17,19.5,7.7,116.3,119
130,Rui Hachimura,Was,F,25.2,30,24.3,23,10,58,0.759,235,0.545,89,0.337,0.534,0.558,13,4.3,1.2,0.4,0.4,1.2,17.3,14.2,18.4,6.7,106.2,113.8
131,Austin Reaves,Lal,G,24.9,63,28.7,16.3,16.9,262,0.863,273,0.634,212,0.392,0.613,0.684,13,3,3.3,0.5,0.3,1.6,16,16.3,19.3,7,128.8,112.5
132,Alec Burks,Det,G,31.7,51,22,22.8,11.2,188,0.814,220,0.459,239,0.414,0.544,0.602,12.8,3.1,2.2,0.7,0.2,1.1,15.9,15,18.1,8.1,119.8,113
133,Jordan Nwora,Ind,F,24.6,23,24.7,21.1,10.8,42,0.714,135,0.511,103,0.408,0.555,0.573,12.8,4.7,2.2,0.5,0.3,1.3,17.5,15,19.7,8.3,112.3,115.6
134,James Wiseman,Det,C,22,23,25.2,21.5,12.3,55,0.709,217,0.567,18,0.167,0.543,0.567,12.8,7.9,0.7,0.2,0.8,1.4,20.7,13.5,21.4,6.6,109.5,108.3
135,Tre Jones,San,G,23.2,66,29.2,19.4,13,168,0.869,567,0.499,153,0.281,0.483,0.53,12.7,3.5,6.5,1.3,0.1,1.6,16.3,19.2,22.7,9.1,115.8,118.6
136,Kenyon Martin Jr.,Hou,F,22.3,81,28,16.4,11.4,220,0.677,494,0.682,214,0.318,0.62,0.638,12.7,5.5,1.5,0.5,0.4,1.1,18.2,14.2,19.7,6.7,125.8,116.6
137,Jabari Smith Jr.,Hou,F,19.9,78,31,18.4,10.5,198,0.783,493,0.485,388,0.307,0.474,0.511,12.7,7.2,1.3,0.6,0.9,1.3,19.9,14,21.2,6.3,107,112.3
138,Nic Claxton,Bro,F-C,24,76,29.9,15.5,14.1,246,0.541,585,0.708,2,0,0.705,0.691,12.6,9.2,1.9,0.9,2.5,1.3,21.9,14.5,23.8,8.1,133.5,105.1
139,Dennis Schroder,Lal,G,29.6,66,30.1,18.6,14.7,252,0.857,426,0.46,225,0.329,0.472,0.545,12.6,2.5,4.5,0.8,0.2,1.7,15.1,17.1,19.6,6.9,111.5,111
140,Derrick White,Bos,G,28.8,81,28.6,17.6,11.1,192,0.875,367,0.548,389,0.38,0.56,0.603,12.5,3.6,3.9,0.7,0.9,1.2,16.1,16.5,20.1,7.8,124.5,107.7
141,Kris Dunn,Uta,G,29.1,20,24.5,19.9,13.5,43,0.744,152,0.553,33,0.455,0.576,0.601,12.3,4.1,5.1,1.1,0.5,1.5,16.4,17.4,21.5,10.4,124,107.1
142,Kelly Olynyk,Uta,F-C,32,67,28.6,17.7,23.2,230,0.852,312,0.574,231,0.39,0.578,0.64,12.3,6.2,3.7,0.9,0.5,2.4,18.5,16,22.2,9.2,117.5,106
143,Jaden McDaniels,Min,F,22.5,77,30.9,15.9,13.5,144,0.736,444,0.588,264,0.39,0.587,0.607,12.2,3.9,1.9,0.9,1,1.4,16.1,14.1,18,5.8,114.9,107.7
144,Keegan Murray,Sac,F,22.6,79,29.8,15.7,7.2,81,0.765,277,0.52,493,0.414,0.584,0.597,12.2,4.6,1.2,0.8,0.5,0.8,16.8,13.4,18,5.5,118.8,112.8
145,Mason Plumlee,Cha,F-C,33.1,56,28.5,15.7,17.8,256,0.605,396,0.669,0,0,0.669,0.673,12.2,9.6,3.7,0.6,0.6,1.5,21.9,15.9,25.5,10.6,134.2,106.8
146,Thomas Bryant,Lal,C-F,25.7,41,21.3,18.2,8.5,108,0.741,251,0.697,50,0.44,0.691,0.712,12.1,6.8,0.7,0.3,0.6,0.7,18.9,12.8,19.6,7.3,138.3,105.3
147,Bones Hyland,Den,G,22.6,42,19.5,28.5,13.4,82,0.866,193,0.425,241,0.378,0.503,0.54,12.1,2,3,0.7,0.3,1.6,14.1,15.1,17.1,8.6,106.2,110.3
148,Caris LeVert,Cle,G,28.6,74,30.3,18.7,13.5,180,0.722,418,0.462,324,0.392,0.517,0.546,12.1,3.8,3.9,1,0.3,1.6,15.9,16,19.8,7.4,111.6,106.7
149,Jakob Poeltl,San,C,27.5,46,26.1,18.7,19.8,129,0.605,387,0.618,1,0,0.616,0.625,12.1,9,3.1,0.8,1.1,2.1,21.1,15.2,24.2,10.7,119.2,110.8
150,Marvin Bagley III,Det,F,24.1,41,23.7,20.3,10.6,108,0.75,309,0.583,62,0.274,0.554,0.588,12,6.4,0.9,0.4,0.7,1.1,18.4,12.9,19.3,6.9,118.3,113.1
151,Clint Capela,Atl,C,28.9,65,26.6,15.7,9.1,131,0.603,535,0.654,1,0,0.653,0.656,12,11,0.9,0.7,1.2,0.8,23,12.9,23.9,7.4,137.1,107.9
152,Saddiq Bey,Atl,F,24,24,25.6,17.2,7.1,29,0.862,100,0.55,122,0.402,0.579,0.601,11.8,4.8,1.3,0.7,0,0.7,16.6,13,17.9,6.5,123.9,113.7
153,Max Strus,Mia,G-F,27,79,28.6,17.6,8,89,0.876,226,0.562,562,0.351,0.536,0.558,11.7,3.3,2.1,0.5,0.1,0.9,14.9,13.8,17.1,6.1,113.2,110.2
154,Lonnie Walker IV,Lal,G-F,24.3,56,23.2,20.2,8,106,0.858,278,0.522,249,0.365,0.534,0.57,11.7,1.9,1.1,0.5,0.3,0.8,13.6,12.8,14.8,5,111.1,112.9
155,Zach Collins,San,F-C,25.4,63,22.9,21.3,19,142,0.761,401,0.571,147,0.374,0.568,0.599,11.6,6.4,2.9,0.6,0.8,2,18,14.5,20.8,10.5,112.5,107.3
156,Eric Gordon,Lac,G,34.3,20,25.4,16.9,10.6,38,0.842,62,0.532,98,0.449,0.619,0.651,11.5,1.8,2.3,0.6,0.4,1,13.3,13.8,15.5,5.7,125.8,113.9
157,Naz Reid,Min,C-F,23.6,68,18.4,24.8,13.7,127,0.677,360,0.653,217,0.346,0.602,0.617,11.5,4.9,1.1,0.6,0.8,1.4,16.4,12.6,17.5,8.6,112.6,100.7
